PR Stirling
EJG Morgan
C Kieswetter
MEK Hussey
Asghar Stanikzai
Samiullah Shenwari
SJ Myburgh
MS Dhoni
MA Leask
MW Machan
RML Taylor
RLB Rambukwella
MM Ali
Babar Azam
Sharjeel Khan
JDP Oram
JA Morkel
CH Gayle
L Vincent
GB Hogg
Mohammad Ashraful
IK Pathan
Tamim Iqbal
Dawlat Zadran
F Behardien
LPC Silva
Alok Kapali
AC Voges
Jahurul Islam
AM Ellis
AP Devcich
AV Lalcheta
Zeeshan Maqsood
Mohammad Shahzad
SP Terry
TJ Murtagh
UT Khawaja
DA Miller
PD Salt
TB de Bruyn
MJ Ackerman
T Stubbs
JDS Neesham
D Brevis
H Klaasen
SJ Erwee
N Burger
K Verreynne
C Esterhuizen
Naveen-ul-Haq
CN Ackermann
Z Khan
A Nehra
VVS Laxman
TM Dilshan
EHSN Silva
Khurram Khan
Umar Gul
MD Shanaka
PVD Chameera
Nizakat Khan
AT Rayudu
Shadab Khan
Mohammad Nawaz (3)
Liton Das
Asif Ali
Mohammad Rizwan
Naseem Shah
Mosaddek Hossain
Aarif Sheikh
DM de Silva
Shubman Gill
HH Pandya
Agha Salman
AR Patel
Waqas Ahmad
Imran Ameer
Mukhtar Ghulami
Mohammad Mithun
AT Carey
Noor Ali Zadran
BMAJ Mendis
MA Starc
RR Powar
SR Watson
AJ Hall
STR Binny
Rubel Hossain
SMA Priyanjan
Mehran Khan
Qadeer Ahmed
JDM Evison
JJ Bushnell
RP Jones
TH Aspinwall
GP Balderson
RK Patel
RS Patel
BMJ Allison
JA Porter
WEL Buttleman
PP Shaw
GL van Buuren
LD McManus
JP McIlroy
HT Crocombe
LP Goldsworthy
R Vasconcelos
RJ Das
SR Harmer
M Montgomery
SM Whiteman
ARI Umeed
DL Lloyd
TP Alsop
MF Hurst
JA Leaning
RJ Burns
L Trevaskis
WL Madsen
JM Coles
AHT Donald
H Hameed
LJ Hill
P Coughlin
SG Borthwick
FJ Bean
LBK Hollman
SD Robson
LPJ Kimber
BBA Geddes
LA Griffiths
CG Harrison
JA Atkins
AJ Horton
JJG Sales
HZ Finch
DR Briggs
KK Patel
SR Hain
AJ Stewart
MKGCP Lakshitha
RC Irani
AM Blignaut
MA Vermeulen
HK Badani
AB Agarkar
SR Clark
JR Hopes
K Nestor
Khaibar Deldar
Sazib Bhuiyan
